Player,3PM,confidence_level_3PM,middlebet_3PM
Shai Gilgeous-Alexander,1 to 3,54.12,1
Jayson Tatum,2 to 4,56.67,4
Jaylen Brown,0 to 4,20.67,1
Kristaps Porzingis,1 to 3,39.68,1
Chet Holmgren,0 to 1,2.15,0
Derrick White,2 to 5,49.95,2
Isaiah Hartenstein,0 to 0,100.0,0
Luguentz Dort,0 to 3,0.0,2
Jrue Holiday,0 to 1,9.18,0
LaMelo Ball,1 to 3,47.78,1
Miles Bridges,1 to 3,36.06,3
Trae Young,0 to 2,29.34,2
Dyson Daniels,0 to 1,14.16,0
Mark Williams,0 to 0,100.0,0
Onyeka Okongwu,1 to 2,66.01,1
Zaccharie Risacher,0 to 2,24.97,0
Mouhamed Gueye,0 to 0,10.84,0
DaQuan Jeffries,0 to 0,36.57,0
Josh Green,0 to 2,28.41,0
Scottie Barnes,0 to 3,33.95,0
Quentin Grimes,0 to 1,31.98,1
Kelly Oubre Jr.,0 to 1,0.29,0
Jakob Poeltl,0 to 0,100.0,0
Jamal Shead,0 to 0,4.03,0
Andre Drummond,0 to 0,31.18,0
Guerschon Yabusele,0 to 1,0.0,0
Justin Edwards,0 to 1,33.97,0
