Player,AST,confidence_level_AST,middlebet_AST
Shai Gilgeous-Alexander,3 to 5,64.37,4
Jayson Tatum,2 to 4,55.38,2
Jaylen Brown,1 to 3,55.49,1
Kristaps Porzingis,0 to 2,31.08,0
Chet Holmgren,0 to 0,15.39,0
Derrick White,1 to 3,47.91,3
Isaiah Hartenstein,1 to 3,46.38,1
Luguentz Dort,0 to 0,33.97,0
Jrue Holiday,3 to 8,39.31,4
LaMelo Ball,2 to 5,57.03,4
Miles Bridges,1 to 3,40.31,1
Trae Young,7 to 11,65.19,7
Dyson Daniels,3 to 5,63.75,4
Mark Williams,0 to 2,43.61,0
Onyeka Okongwu,0 to 1,50.12,0
Zaccharie Risacher,0 to 1,12.06,0
Mouhamed Gueye,0 to 1,19.51,0
DaQuan Jeffries,0 to 0,9.67,0
Josh Green,0 to 0,17.23,1
Scottie Barnes,1 to 3,65.49,1
Quentin Grimes,0 to 2,27.69,2
Kelly Oubre Jr.,1 to 5,21.19,4
Jakob Poeltl,0 to 1,45.78,1
Jamal Shead,1 to 3,49.77,1
Andre Drummond,0 to 0,46.54,0
Guerschon Yabusele,0 to 2,25.65,2
Justin Edwards,0 to 0,23.16,0
