Player,REB,confidence_level_REB,middlebet_REB
Cade Cunningham,2 to 4,54.02,4
Jordan Poole,1 to 2,56.85,0
Malik Beasley,0 to 0,15.25,1
Jalen Duren,6 to 10,69.71,8
Tobias Harris,2 to 5,50.54,2
Alex Sarr,3 to 6,56.66,3
Corey Kispert,0 to 1,43.8,1
Khris Middleton,1 to 3,52.98,1
Ausar Thompson,3 to 5,65.66,4
Dennis Schroder,0 to 1,31.84,0
Kyshawn George,2 to 4,55.33,2
Tim Hardaway Jr.,0 to 2,37.54,0
Richaun Holmes,3 to 6,57.61,3
Marcus Smart,0 to 1,28.39,0
Isaiah Stewart,1 to 3,57.95,3
Luka Doncic,4 to 8,60.81,6
Giannis Antetokounmpo,8 to 12,72.83,10
Damian Lillard,1 to 3,51.09,1
Austin Reaves,1 to 3,51.02,3
Kyle Kuzma,3 to 6,62.71,4
Dalton Knecht,0 to 2,27.16,0
Brook Lopez,1 to 3,46.27,3
Gabe Vincent,0 to 0,0.0,0
Dorian Finney-Smith,1 to 3,56.85,1
Taurean Prince,1 to 3,44.26,1
Jarred Vanderbilt,1 to 4,46.05,1
Paolo Banchero,3 to 5,65.23,3
Franz Wagner,2 to 5,57.25,4
Zion Williamson,3 to 6,57.85,5
CJ McCollum,1 to 3,47.1,1
Trey Murphy III,2 to 4,72.03,3
Cole Anthony,0 to 2,33.61,2
Kentavious Caldwell-Pope,0 to 2,44.64,0
Yves Missi,3 to 6,54.7,5
Cam Thomas,0 to 1,33.91,0
Coby White,1 to 3,52.73,3
Cameron Johnson,1 to 3,57.66,3
Kevin Huerter,0 to 1,18.57,0
Matas Buzelis,1 to 3,56.73,1
D'Angelo Russell,0 to 1,22.11,0
Nikola Vucevic,7 to 10,71.43,7
Tre Jones,0 to 0,18.44,0
Zach Collins,0 to 3,14.03,0
Nic Claxton,3 to 6,65.16,3
Ziaire Williams,1 to 3,42.68,3
Keon Johnson,1 to 4,48.46,3
Day'Ron Sharpe,2 to 5,53.85,4
Stephen Curry,0 to 1,44.8,0
Zach LaVine,1 to 3,55.59,1
DeMar DeRozan,1 to 3,46.09,1
Jimmy Butler,1 to 5,20.25,4
Malik Monk,0 to 2,33.5,0
Domantas Sabonis,8 to 14,58.67,10
Keegan Murray,3 to 5,67.98,3
Moses Moody,1 to 3,40.08,1
Buddy Hield,0 to 2,43.91,0
Quinten Post,1 to 4,45.94,3
Draymond Green,3 to 6,54.78,3
Keon Ellis,0 to 2,39.79,0
