home_team,schedule_team,schedule_matchup,DATE,TIME,location
IND,,vs San Antonio *,2025-01-23,2:00 PM,home
IND,DET,vs Detroit,2025-01-29,7:00 PM,home
IND,UTA,@ Utah,2025-02-03,9:00 PM,away
IND,LAC,@ LA,2025-02-06,10:30 PM,away
IND,NYK,vs New York,2025-02-11,7:30 PM,home
IND,MEM,vs Memphis,2025-02-20,7:00 PM,home
IND,DEN,vs Denver,2025-02-24,7:00 PM,home
IND,MIA,@ Miami,2025-02-28,8:00 PM,away
IND,HOU,vs Houston,2025-03-04,7:00 PM,home
IND,ATL,@ Atlanta,2025-03-08,7:30 PM,away
IND,MIL,vs Milwaukee,2025-03-11,7:00 PM,home
IND,MIL,@ Milwaukee,2025-03-15,8:00 PM,away
IND,DAL,vs Dallas,2025-03-19,7:00 PM,home
IND,BKN,vs Brooklyn,2025-03-22,5:00 PM,home
IND,LAL,vs Los Angeles,2025-03-26,7:30 PM,home
IND,OKC,@ Oklahoma City,2025-03-29,8:00 PM,away
IND,CHA,vs Charlotte,2025-04-02,7:00 PM,home
IND,DEN,@ Denver,2025-04-06,8:00 PM,away
IND,CLE,vs Cleveland,2025-04-10,7:00 PM,home
